Theme,p_collect,o_collect,o_predicted,p_score,o_score,Resources
Great Detective,96,31,31963,73539,31840,NI
Intern Translator,62,18,30790,150234,28761,NI
A Growing Lady,62,14,12067,75769,11642,NI
Summer Party,62,4,37610,80958,42787,NI
Christmas Reunion,62,9,43025,80593,49736,NI
Summer Party,62,20,47490,85539,42895,NI
Spring Outing,62,24,47699,85645,44880,NI
Summer Party,62,5,48478,74241,48955,NI
Summer Story,62,28,48676,78683,56310,NI
Intern Translator,62,58,49588,140503,44647,NI
Cloud Lady,62,10,44842,145623,44747,NI
Intern Translator,96,38,100666,121963,128443,NI
Office Star,96,37,49559,85796,65562,NI
Office Star,96,50,53217,82808,64360,NI
Imperial Ball,96,58,51708,95607,52913,NI
Spring Outing,96,12,49842,86081,53082,NI
A Growing Lady,62,43,40327,83718,51938,NI
Golden Odeum,62,14,47775,86679,52029,NI
Great Detective,62,33,41626,72814,43362,NI
Christmas Reunion,62,15,37991,83825,42886,NI
Fairytale Garden,62,15,48211,84420,53881,NI
Cloud Lady,96,32,94201,163740,110140,NI
Intern Translator,96,15,46785,145693,54072,NI
Beach Party,96,51,58595,78038,72485,NI
Where is Spring,96,13,52545,97522,57400,NI
The Queen,96,19,52640,93337,63982,NI
Summer Story,62,57,36015,76499,35903,NI
Ongoing Sports,62,20,42054,84364,50464,NI
Cloud Lady,62,10,53247,140270,58663,NI
Beach Party,62,41,35118,84454,32599,NI
Intern Translator,62,26,43062,144435,47559,NI
Imperial Ball,96,32,58749,78779,69143,NI
Golden Odeum,96,36,60159,96837,69565,NI
A Growing Lady,96,20,53709,78796,60200,NI
Christmas Reunion,96,82,62910,76566,77549,NI
Office Star,96,70,69365,90676,84884,NI
Great Detective,62,19,47543,73420,49110,NI
Imperial Ball,62,29,49895,87573,57410,NI
Ongoing Sports,62,3,35823,90992,35294,NI
Where is Spring,62,40,46521,87008,56932,NI
Cloud Lady,62,4,52035,144579,47284,NI
Spring Outing,96,31,51109,85339,62480,NI
Cloud Lady,96,30,56822,154937,64681,NI
A Growing Lady,96,37,57418,80079,70415,NI
Spring Outing,96,39,38075,91409,41889,NI
Ongoing Sports,96,54,44047,75917,50323,NI
A Growing Lady,62,10,32146,75809,36594,NI
Where is Spring,62,13,48529,82248,57199,NI
Intern Translator,62,34,47527,131617,69317,NI
Fairytale Garden,62,50,47429,85344,55170,NI
Great Detective,62,31,49183,82160,59335,NI
Imperial Ball,96,43,61130,92399,79198,NI
Summer Story,96,14,57857,76053,68990,NI
Summer Story,96,16,35110,76826,40783,NI
Golden Odeum,96,22,55188,95507,72934,NI
Cloud Lady,96,64,62948,132763,65223,NI
Summer Story,62,49,40557,80728,46691,NI
Summer Story,62,23,39271,76202,42861,NI
Summer Party,62,9,44292,80673,48369,NI
Great Detective,62,48,44932,71769,40951,NI
Where is Spring,62,29,46183,94577,54054,NI
Where is Spring,96,20,30714,92049,33653,NI
Office Star,96,37,31479,87414,31334,NI
Golden Odeum,96,38,43796,85931,52262,NI
Christmas Reunion,96,31,37536,77749,42171,NI
Intern Translator,96,58,66949,146581,67686,NI
Imperial Ball,62,12,44853,91468,49540,NI
Where is Spring,62,12,15110,83780,13524,NI
Intern Translator,62,14,32960,142760,31426,NI
The Queen,62,10,26857,94604,28852,NI
Golden Odeum,62,29,44332,94766,43193,NI
Imperial Ball,62,19,47549,85468,44592,NI
Ongoing Sports,62,40,45456,89234,44249,NI
Great Detective,62,5,23372,80392,25053,NI
Ongoing Sports,62,35,47650,81097,58652,NI
Summer Story,62,43,40927,76688,46843,NI
