Theme,p_collect,o_collect,o_predicted,p_score,o_score,Resources
A Growing Lady,60,7,31875,84962,36523,NI
Summer Story,22,7,29912,62689,33220,NI
Golden Odeum,62,8,47039,95921,52391,NI
Golden Odeum,62,26,43378,84847,46698,NI
Great Detective,62,34,47811,77996,52211,NI
Summer Party,62,17,42028,79942,42650,NI
Fairytale Garden,62,10,48433,83249,51092,NI
Fairytale Garden,60,30,23385,93543,23323,NI
A Growing Lady,60,12,20532,79654,27799,NI
Golden Odeum,60,25,49077,71473,51845,NI
The Queen,60,44,49882,92545,53859,NI
Ongoing Sports,60,39,48906,82713,55168,NI
Fire in the Winter,60,32,41779,80257,42386,NI
Cloud Lady,60,13,64377,146002,78266,NI
The Queen,60,21,59139,97108,72475,NI
Fire in the Winter,18,21,31163,59030,35930,None
Cloud Lady,18,10,53275,113773,54549,None
Summer Party,18,33,39412,48829,46092,None
A Growing Lady,18,31,45061,49529,39479,None
Where is Spring,18,4,43804,51582,49069,None
Where is Spring,36,7,26860,82353,25548,NI
Where is Spring,36,3,47404,76994,51708,NI
Cloud Lady,36,22,49852,112808,50484,NI
Where is Spring,36,24,46951,72125,50449,NI
Office Star,64,22,47626,76239,49722,NI
Christmas Reunion,64,21,34191,67018,37806,NI
Where is Spring,64,13,48768,83492,49352,NI
The Queen,64,6,51646,90528,52586,NI
Intern Translator,64,30,84072,131650,98082,NI
Office Star,84,23,50236,82819,49770,NI
The Queen,84,42,58633,90771,64498,NI
Ongoing Sports,84,28,56402,78016,62988,NI
Summer Story,84,31,57473,82872,63959,NI
Christmas Reunion,84,36,50425,68044,62955,NI
Ongoing Sports,10,25,40594,65816,41568,NI
Intern Translator,25,26,80948,123858,93424,NI
Beach Party,25,5,33426,71374,32580,NI
Ongoing Sports,25,7,41211,77766,41381,NI
Cloud Lady,25,16,54633,129603,65860,NI
Great Detective,25,20,46461,77065,42605,NI
Where is Spring,96,31,45717,87547,46212,NI
The Queen,96,33,58909,96911,67271,NI
Cloud Lady,96,42,84573,151400,107852,NI
Spring Outing,96,37,51599,79434,52957,NI
Office Star,96,17,51804,89273,52039,NI
Ongoing Sports,64,8,21000,79842,21019,NI
Spring Outing,64,42,46190,77666,54116,NI
Summer Story,64,14,27164,73271,29282,NI
Spring Outing,64,32,52404,83307,62526,NI
The Queen,64,24,61546,79309,78371,NI
Intern Translator,84,37,95809,138981,120520,NI
Fairytale Garden,84,52,57129,85737,64204,NI
Beach Party,84,30,58320,80819,64143,NI
Office Star,84,45,52285,87610,61104,NI
Ongoing Sports,84,42,55630,77703,56512,NI
Fairytale Garden,62,6,42740,86774,45779,NI
Fire in the Winter,62,6,39400,82689,47969,NI
Office Star,62,11,47893,83477,59235,NI
Summer Party,62,43,50024,90577,61219,NI
